Model,Accuracy,Precision,Recall,F1 Score
concatenated_all,0.9214704867103901,0.9297906920865887,0.9214704867103901,0.9204317725304407
dinov3,0.9043838453572661,0.9084169126068773,0.9043838453572661,0.9039627811943879
dinov2,0.9031756989989644,0.9095626423497525,0.9031756989989644,0.9027988880063502
convnext,0.8893683120469451,0.8959030471040548,0.8893683120469451,0.8891576390772508
openclip,0.8852260959613393,0.8905364421426636,0.8852260959613393,0.8854289285036298
siglip,0.8588194684156023,0.866151839072454,0.8588194684156023,0.8585090825879599
